script_id,title,year,gross,writer,producer,director,total female words,total male words,percentage female,percentage_male,cx,cy
1841,Black Swan,2010,117,m,m,m,2444,1947,0.56,0.44,0,0
1846,Blade II,2002,122,m,m,m,2064,9512,0.18,0.82,0,0
1855,The Blind Side,2009,296,m,m,m,7890,7144,0.52,0.48,0,0
1856,The Bling Ring,2013,6,f,m,f,4193,1582,0.73,0.27,0,0
1863,Blow,2001,81,m,m,m,3342,21740,0.13,0.87,0,0
1886,The Book of Eli,2010,104,m,f,m,4598,14518,0.24,0.76,0,0
1902,The Bourne Identity,2002,181,m,m,m,1397,5041,0.22,0.78,0,0
1904,The Bourne Supremacy,2004,246,m,m,m,4048,6284,0.39,0.61,0,0
1907,The Bourne Ultimatum,2007,287,m,m,m,1996,8494,0.19,0.81,0,0
1909,The Box,2009,17,m,f,m,5008,8965,0.36,0.64,0,0
1922,Brick,2005,2,m,m,m,3234,16510,0.16,0.84,0,0
1925,Bridesmaids,2011,185,f,m,m,9010,2014,0.82,0.18,0,0
1933,Broken Embraces,2009,5,m,m,m,6200,8804,0.41,0.59,0,0
1943,Buried,2010,1,m,m,m,869,13700,0.06,0.94,0,0
1945,Burlesque,2010,43,m,f,m,10788,7068,0.6,0.4,0,0
1949,The Butterfly Effect,2004,58,m,m,m,5396,14040,0.28,0.72,0,0
1955,Capote,2005,38,m,f,m,3472,19022,0.15,0.85,0,0
1957,Cars 2,2011,209,m,f,m,1511,11135,0.12,0.88,0,0
1962,Case 39,2009,15,m,f,m,5244,2926,0.64,0.36,0,0
1968,Catch Me If You Can,2002,245,m,m,m,1688,8913,0.16,0.84,0,0
1973,Cecil B. DeMented,2000,2,m,m,m,2009,5758,0.26,0.74,0,0
1974,Cedar Rapids,2011,7,m,m,m,1819,11418,0.14,0.86,0,0
1975,Celeste & Jesse Forever,2012,3,f,m,m,8350,5056,0.62,0.38,0,0
1976,The Cell,2000,98,m,m,m,4532,6556,0.41,0.59,0,0
1981,The Change-Up,2011,40,m,m,m,2761,16287,0.14,0.86,0,0
1989,Charlie's Angels,2000,201,m,f,m,6964,3608,0.66,0.34,0,0
1995,Cherry Falls,2000,0,m,f,m,5392,4250,0.56,0.44,0,0
2003,Chronicle,2012,70,m,m,m,542,6943,0.07,0.93,0,0
2019,Clash of the Titans,2010,179,m,m,m,5206,9864,0.35,0.65,0,0
2033,Cold Mountain,2003,137,m,m,m,12274,11568,0.51,0.49,0,0
2035,Collateral,2004,140,m,m,m,1616,9768,0.14,0.86,0,0
2041,Colombiana,2011,40,m,m,m,1417,6248,0.18,0.82,0,0
2046,Conan the Barbarian,2011,23,m,m,m,2009,6568,0.23,0.77,0,0
2059,Coriolanus,2011,0,m,m,m,2623,9192,0.22,0.78,0,0
2063,Cowboys & Aliens,2011,109,m,m,m,2763,11660,0.19,0.81,0,0
2066,Crank,2006,36,m,m,m,613,4578,0.12,0.88,0,0
2073,"Crazy, Stupid, Love.",2011,92,m,f,m,4260,8177,0.34,0.66,0,0
2106,The Dark Knight,2008,645,m,m,m,3246,30290,0.1,0.9,0,0
2112,Date Night,2010,108,m,m,m,5690,9940,0.36,0.64,0,0
2130,Death at a Funeral,2010,47,m,m,m,3745,14995,0.2,0.8,0,0
2133,The Debt,2010,34,m,f,m,2072,3934,0.34,0.66,0,0
2144,The Departed,2006,175,m,m,m,2030,24518,0.08,0.92,0,0
2146,The Descendants,2011,90,m,m,m,4601,10291,0.31,0.69,0,0
2148,Despicable Me 2,2013,393,m,f,m,2271,3907,0.37,0.63,0,0
2177,Donnie Darko,2001,1,m,m,m,2982,3877,0.43,0.57,0,0
2182,Drag Me to Hell,2009,48,m,m,m,17236,7852,0.69,0.31,0,0
2184,Drive,2011,38,m,m,m,832,4443,0.16,0.84,0,0
2201,Eastern Promises,2007,21,m,m,m,1812,4033,0.31,0.69,0,0
2202,Easy A,2010,64,m,f,m,10289,1296,0.89,0.11,0,0
2232,Equilibrium,2002,1,m,f,m,354,2868,0.11,0.89,0,0
2240,Eternal Sunshine of the Spotless Mind,2004,47,m,m,m,12312,10952,0.53,0.47,0,0
2254,Extract,2009,12,m,m,m,2162,12887,0.14,0.86,0,0
2265,Fantastic Four,2005,210,m,m,m,3600,14088,0.2,0.8,0,0
2266,Fantastic Mr. Fox,2009,24,m,f,m,864,12442,0.06,0.94,0,0
2275,The Fault in Our Stars,2014,133,m,m,m,10031,8434,0.54,0.46,0,0
2289,The Fighter,2010,103,m,m,m,3744,10261,0.27,0.73,0,0
2294,Final Destination 2,2003,67,m,m,m,4968,2841,0.64,0.36,0,0
2296,Finding Nemo,2003,549,m,m,m,4704,14258,0.25,0.75,0,0
2313,Foxcatcher,2014,12,m,m,m,0,8057,0,1,0,0
2314,Fracture,2007,49,m,m,m,3612,20676,0.15,0.85,0,0
2337,Fright Night,2011,20,f,m,m,3092,13916,0.18,0.82,0,0
2343,Frozen,2013,429,f,m,m,2922,3875,0.43,0.57,0,0
2344,Frozen River,2008,3,f,m,f,9884,4134,0.71,0.29,0,0
2346,Fruitvale Station,2013,17,m,f,m,2955,4226,0.41,0.59,0,0
2352,Funny People,2009,60,m,m,m,7596,36278,0.17,0.83,0,0
2374,Garden State,2004,37,m,f,m,4784,13390,0.26,0.74,0,0
2382,Get Low,2009,10,m,m,m,2008,11588,0.15,0.85,0,0
2399,Ghost World,2001,9,m,f,m,18692,9122,0.67,0.33,0,0
2408,Gladiator,2000,303,m,m,m,2778,15594,0.15,0.85,0,0
2426,The Good Girl,2002,20,m,f,m,8864,6936,0.56,0.44,0,0
2436,Gran Torino,2008,179,m,m,m,4000,29092,0.12,0.88,0,0
2445,Gravity,2013,293,m,m,m,2580,3089,0.46,0.54,0,0
2460,The Grudge,2004,154,m,m,m,3532,2878,0.55,0.45,0,0
2465,Hall Pass,2011,49,m,m,m,6302,15848,0.28,0.72,0,0
2469,The Hangover,2009,321,m,m,m,3236,26538,0.11,0.89,0,0
2470,Hanna,2011,44,m,m,m,5722,4759,0.55,0.45,0,0
2492,Harry Potter and the Goblet of Fire,2005,393,m,m,m,3472,16212,0.18,0.82,0,0
2498,He's Just Not That Into You,2009,109,f,f,m,15708,11042,0.59,0.41,0,0
2530,The Help,2011,186,m,m,m,21540,1951,0.92,0.08,0,0
2535,Hesher,2010,0,m,m,m,3462,6109,0.36,0.64,0,0
2536,High Fidelity,2000,44,m,m,m,10270,31114,0.25,0.75,0,0
2547,The Hitchhiker's Guide to the Galaxy,2005,69,m,m,m,2768,19252,0.13,0.87,0,0
2548,Hollow Man,2000,118,m,f,m,6032,10502,0.36,0.64,0,0
2551,Horrible Bosses,2011,129,m,m,m,1125,11150,0.09,0.91,0,0
2558,Hot Tub Time Machine,2010,55,m,m,m,1169,12196,0.09,0.91,0,0
2566,How to Train Your Dragon,2010,239,m,f,m,1947,14848,0.12,0.88,0,0
2567,How to Train Your Dragon 2,2014,188,m,f,m,1887,6638,0.22,0.78,0,0
2576,Human Nature,2001,1,m,m,m,8896,10308,0.46,0.54,0,0
2579,I Am Number Four,2011,60,m,m,m,2926,10237,0.22,0.78,0,0
2580,I Am Sam,2001,61,f,m,f,10596,5480,0.66,0.34,0,0
2582,I Love You Phillip Morris,2009,2,m,m,m,881,8417,0.09,0.91,0,0
2594,The Imaginarium of Doctor Parnassus,2009,8,m,f,m,2724,12290,0.18,0.82,0,0
2597,In the Loop,2009,2,m,m,m,7050,22050,0.24,0.76,0,0
2598,Inception,2010,323,m,m,m,2678,12406,0.18,0.82,0,0
2618,Insidious,2010,59,m,m,m,4351,3879,0.53,0.47,0,0
2619,Insomnia,2002,100,f,m,m,3606,10978,0.25,0.75,0,0
2625,Into the Wild,2007,23,m,m,m,6718,12204,0.36,0.64,0,0
2632,Invictus,2009,43,m,m,m,713,6534,0.1,0.9,0,0
2634,The Iron Lady,2011,32,f,m,f,4895,2075,0.7,0.3,0,0
2644,It's Complicated,2009,131,f,f,f,5765,5203,0.53,0.47,0,0
2651,The Jacket,2005,8,m,m,m,3013,7408,0.29,0.71,0,0
2660,Jane Eyre,2011,12,f,m,m,8849,7696,0.53,0.47,0,0
2664,Jason X,2001,19,m,m,m,3235,5130,0.39,0.61,0,0
2673,Jay and Silent Bob Strike Back,2001,46,m,m,m,4838,19270,0.2,0.8,0,0
2688,Juno,2007,180,f,m,m,17534,5138,0.77,0.23,0,0
2704,King Kong,2005,295,f,f,m,1394,9752,0.13,0.87,0,0
2708,The King's Speech,2010,153,m,m,m,1574,13746,0.1,0.9,0,0
2714,Knocked Up,2007,188,m,m,m,9169,15607,0.37,0.63,0,0
2719,Kung Fu Panda,2008,260,m,m,m,1058,10262,0.09,0.91,0,0
2736,Last Chance Harvey,2008,18,m,m,m,4380,6880,0.39,0.61,0,0
2739,The Last Samurai,2003,160,m,m,m,240,16556,0.01,0.99,0,0
2742,The Last Station,2009,7,m,f,m,7144,11926,0.37,0.63,0,0
2754,Les Misärables,2012,162,m,m,m,3079,10977,0.22,0.78,0,0
2769,Life of Pi,2012,136,m,m,m,289,6914,0.04,0.96,0,0
2775,Limitless,2011,86,f,m,m,1858,9012,0.17,0.83,0,0
2777,Lincoln,2012,198,m,f,m,1716,12134,0.12,0.88,0,0
2779,The Lincoln Lawyer,2011,63,m,m,m,3303,16138,0.17,0.83,0,0
2785,Little Nicky,2000,63,m,m,m,2418,14414,0.14,0.86,0,0
2804,Lord of War,2005,32,m,m,m,1530,18110,0.08,0.92,0,0
2805,The Losers,2010,25,m,f,m,914,7537,0.11,0.89,0,0
2812,Lost in Translation,2003,64,f,m,f,2220,1865,0.54,0.46,0,0
2814,Love & Basketball,2000,44,f,m,f,5638,4260,0.57,0.43,0,0
2815,Machete,2010,29,m,m,m,1939,3965,0.33,0.67,0,0
2852,Margin Call,2011,5,m,m,m,1107,11181,0.09,0.91,0,0
2854,Margot at the Wedding,2007,2,m,f,m,10594,5120,0.67,0.33,0,0
2857,Marley & Me,2008,173,m,m,m,6367,11120,0.36,0.64,0,0
2858,Martha Marcy May Marlene,2011,3,m,m,m,4657,2073,0.69,0.31,0,0
2865,Master and Commander: The Far Side of the World,2003,135,m,m,m,0,8524,0,1,0,0
2866,The Master,2012,17,m,m,m,1028,13654,0.07,0.93,0,0
2880,The Mechanic,2011,31,m,m,m,1164,7430,0.14,0.86,0,0
2887,Memento,2000,41,m,m,m,3646,16450,0.18,0.82,0,0
2894,Men in Black 3,2012,195,m,f,m,113,14351,0.01,0.99,0,0
2924,Minority Report,2002,197,m,f,m,2369,12078,0.16,0.84,0,0
2927,Mirrors,2008,37,m,m,m,4418,10022,0.31,0.69,0,0
2935,Mission: Impossible II,2000,347,m,m,m,3346,17418,0.16,0.84,0,0
2944,Monster's Ball,2001,48,m,m,m,889,2668,0.25,0.75,0,0
2945,Monte Carlo,2011,25,m,f,m,13256,3772,0.78,0.22,0,0
2946,Moon,2009,5,m,m,m,262,5110,0.05,0.95,0,0
2947,Moonrise Kingdom,2012,49,m,m,m,2347,5970,0.28,0.72,0,0
2959,Mud,2012,23,m,m,m,2578,18069,0.12,0.88,0,0
2962,Mulholland Drive,2001,11,m,m,m,8362,5368,0.61,0.39,0,0
2975,My Week with Marilyn,2011,16,m,f,m,9047,14201,0.39,0.61,0,0
2997,The Next Three Days,2010,23,m,m,m,1921,5079,0.27,0.73,0,0
3009,Nine,2009,22,m,f,m,2563,4795,0.35,0.65,0,0
3014,Ninja Assassin,2009,44,m,f,m,2864,4408,0.39,0.61,0,0
3019,No Strings Attached,2011,77,f,m,m,6259,8525,0.42,0.58,0,0
3026,Oblivion,2013,95,m,m,m,5007,8066,0.38,0.62,0,0
3029,Ocean's Eleven,2001,281,m,m,m,1046,19972,0.05,0.95,0,0
3031,Ocean's Twelve,2004,176,m,m,m,4136,15566,0.21,0.79,0,0
3040,Only God Forgives,2013,0,m,f,m,3228,9313,0.26,0.74,0,0
3055,Pandorum,2009,11,m,m,m,2126,16324,0.12,0.88,0,0
3059,Papadopoulos & Sons,2012,0,m,f,m,1370,8537,0.14,0.86,0,0
3060,ParaNorman,2012,61,m,m,m,3929,10749,0.27,0.73,0,0
3062,Pariah,2011,0,f,f,f,7381,1793,0.8,0.2,0,0
3079,The Perks of Being a Wallflower,2012,19,m,f,m,2767,7188,0.28,0.72,0,0
3089,Phone Booth,2002,69,m,m,m,1464,14258,0.09,0.91,0,0
3092,The Pianist,2002,48,m,m,m,2578,8072,0.24,0.76,0,0
3097,Pineapple Express,2008,105,m,m,m,1602,13152,0.11,0.89,0,0
3105,Pitch Black,2000,63,m,m,m,4430,8966,0.33,0.67,0,0
3124,Precious,2009,55,m,f,m,17536,114,0.99,0.01,0,0
3133,Pride & Prejudice,2005,52,f,m,m,13437,5669,0.7,0.3,0,0
3135,Priest,2011,31,m,m,m,1814,10642,0.15,0.85,0,0
3141,The Producers,2005,26,f,f,m,956,16158,0.06,0.94,0,0
3162,Queen of the Damned,2002,45,f,f,m,5762,10056,0.36,0.64,0,0
3167,Rachel Getting Married,2008,15,f,f,m,10084,5774,0.64,0.36,0,0
3178,The Reader,2008,41,m,m,m,4716,9588,0.33,0.67,0,0
3189,Red Riding Hood,2011,41,m,m,f,9922,8890,0.53,0.47,0,0
3194,Remember Me,2010,21,m,f,m,3750,5458,0.41,0.59,0,0
3204,Resident Evil,2002,59,m,m,m,2264,3545,0.39,0.61,0,0
3209,Revolutionary Road,2008,27,m,f,m,8686,10372,0.46,0.54,0,0
3212,Rise of the Guardians,2012,112,m,f,m,931,7742,0.11,0.89,0,0
3213,Rise of the Planet of the Apes,2011,194,m,m,m,1537,7447,0.17,0.83,0,0
3218,The Road,2009,8,m,m,m,911,14436,0.06,0.94,0,0
3237,The Roommate,2011,40,m,m,m,12294,1839,0.87,0.13,0,0
3240,The Ruins,2008,21,m,m,m,10438,14216,0.42,0.58,0,0
3244,Rush,2013,28,m,m,m,999,8378,0.11,0.89,0,0
3265,Saving Mr. Banks,2013,89,f,m,m,10476,6893,0.6,0.4,0,0
3271,Saw,2004,77,m,m,m,2916,20780,0.12,0.88,0,0
3280,Scott Pilgrim vs. the World,2010,34,m,m,m,6935,13478,0.34,0.66,0,0
3285,Scream 3,2000,143,m,m,m,7720,7712,0.5,0.5,0,0
3294,Serenity,2005,34,m,m,m,8102,20962,0.28,0.72,0,0
3298,The Sessions,2012,6,m,m,m,4680,6424,0.42,0.58,0,0
3300,Sex and the City,2008,185,m,m,m,25184,5142,0.83,0.17,0,0
3313,Shame,2011,4,m,m,m,1937,4311,0.31,0.69,0,0
3331,Shrek,2001,411,m,m,m,3288,17246,0.16,0.84,0,0
3332,Shrek the Third,2007,405,m,m,m,1141,7511,0.13,0.87,0,0
3333,Sideways,2004,100,m,m,m,4958,22344,0.18,0.82,0,0
3345,S1m0ne,2002,14,m,m,m,9172,16564,0.36,0.64,0,0
3364,Slither,2006,10,m,m,m,4488,4592,0.49,0.51,0,0
3365,Slumdog Millionaire,2008,170,m,m,m,1242,16392,0.07,0.93,0,0
3378,Snow White and the Huntsman,2012,169,m,f,m,6169,9546,0.39,0.61,0,0
3381,The Social Network,2010,106,m,m,m,1990,18854,0.1,0.9,0,0
3394,Source Code,2011,60,m,m,m,6179,10735,0.37,0.63,0,0
3427,Star Wars: Episode III - Revenge of the Sith,2005,515,m,m,m,1688,12209,0.12,0.88,0,0
3467,Sunshine Cleaning,2008,14,f,m,f,10014,6914,0.59,0.41,0,0
3468,Super 8,2011,139,m,m,m,728,7773,0.09,0.91,0,0
3469,Superbad,2007,153,m,m,m,882,11502,0.07,0.93,0,0
3476,Surrogates,2009,44,m,m,m,3215,9551,0.25,0.75,0,0
3494,Take Shelter,2011,1,m,m,m,4046,7877,0.34,0.66,0,0
3503,Tamara Drewe,2010,0,f,f,m,9568,9021,0.51,0.49,0,0
3509,Ted,2012,239,m,m,m,2415,10277,0.19,0.81,0,0
3516,Terminator Salvation,2009,145,m,f,m,1661,2482,0.4,0.6,0,0
3536,This Is 40,2012,73,m,m,m,9260,10556,0.47,0.53,0,0
3538,Thor,2011,198,f,f,m,5413,15996,0.25,0.75,0,0
3563,Tinker Tailor Soldier Spy,2011,26,f,m,m,565,8829,0.06,0.94,0,0
3605,Troy,2004,186,m,m,m,4116,29712,0.12,0.88,0,0
3621,Twilight,2008,231,f,m,f,6886,7438,0.48,0.52,0,0
3631,The Ugly Truth,2009,103,f,f,m,6033,7968,0.43,0.57,0,0
3641,Up,2009,339,m,m,m,998,13334,0.07,0.93,0,0
3643,Up in the Air,2009,97,m,m,m,4787,7195,0.4,0.6,0,0
3649,Valentine's Day,2010,121,f,m,m,3110,5145,0.38,0.62,0,0
3650,Valkyrie,2008,100,m,m,m,200,15696,0.01,0.99,0,0
3667,The Visitor,2007,11,m,m,m,5084,11442,0.31,0.69,0,0
3680,War Horse,2011,87,m,f,m,1331,6950,0.16,0.84,0,0
3686,Warrior,2011,15,m,f,m,677,9875,0.06,0.94,0,0
3689,Water for Elephants,2011,64,m,m,m,3196,14429,0.18,0.82,0,0
3690,The Way Way Back,2010,2,m,m,m,696,12223,0.05,0.95,0,0
3694,What Lies Beneath,2000,250,m,f,m,8754,4668,0.65,0.35,0,0
3701,The Whistleblower,2010,1,f,m,f,5586,3166,0.64,0.36,0,0
3717,Wild Hogs,2007,212,m,f,m,1510,18397,0.08,0.92,0,0
3726,Win Win,2011,11,m,f,m,3421,9834,0.26,0.74,0,0
3737,The Wolf of Wall Street,2013,125,m,m,m,1431,15721,0.08,0.92,0,0
3746,The Wrestler,2008,31,m,m,m,3392,7132,0.32,0.68,0,0
3752,X-Men,2000,253,m,m,m,850,4175,0.17,0.83,0,0
3759,Yes Man,2008,118,m,m,m,6128,18164,0.25,0.75,0,0
3765,Youth in Revolt,2009,17,m,f,m,10756,23054,0.32,0.68,0,0
3766,Zero Dark Thirty,2012,104,m,f,f,5064,8152,0.38,0.62,0,0
3770,50/50,2011,38,m,f,m,2209,5617,0.28,0.72,0,0
3776,Thir13en Ghosts,2001,64,m,m,m,2023,4959,0.29,0.71,0,0
3784,28 Days,2000,59,f,f,f,1705,699,0.71,0.29,0,0
3789,3:10 to Yuma,2007,67,m,m,m,145,5699,0.02,0.98,0,0
3805,Adventureland,2009,18,m,m,m,2414,6619,0.27,0.73,0,0
3816,Alice in Wonderland,2010,368,f,f,m,3515,1883,0.65,0.35,0,0
3850,Animal Kingdom,2010,1,m,m,m,2051,6649,0.24,0.76,0,0
3862,Armored,2009,18,m,m,m,0,4500,0,1,0,0
3872,Atonement,2007,64,m,m,m,3379,2740,0.55,0.45,0,0
