script_id,title,year,gross,writer,producer,director,total female words,total male words,percentage female,percentage_male,cx,cy,poster_url
815,Collateral Damage,2002,59,m,m,m,470,4222,0.1,0.9,0,0,http://ia.media-imdb.com/images/M/MV5BMTM2MTQ3MTAxMV5BMl5BanBnXkFtZTcwNDYxOTQxMQ@@._V1_SX300.jpg
818,Constantine,2005,102,m,m,m,2930,6784,0.3,0.7,0,0,http://ia.media-imdb.com/images/M/MV5BMTE5NDk5NTUyN15BMl5BanBnXkFtZTYwNzUyMDA3._V1_SX300.jpg
822,Cradle 2 the Grave,2003,49,m,m,m,1003,7197,0.12,0.88,0,0,http://ia.media-imdb.com/images/M/MV5BMTY0NTE1MDgwMl5BMl5BanBnXkFtZTYwNjQ0MDg5._V1_SX300.jpg
850,Death to Smoochy,2002,12,m,f,m,1810,7375,0.2,0.8,0,0,http://ia.media-imdb.com/images/M/MV5BMTMxOTAyMTczMV5BMl5BanBnXkFtZTcwOTg5MzkxMQ@@._V1_SX300.jpg
851,Deception,2008,5,m,m,m,972,7565,0.11,0.89,0,0,http://ia.media-imdb.com/images/M/MV5BNjAzODA2NjM5Ml5BMl5BanBnXkFtZTcwNDgwNDQ2MQ@@._V1_SX300.jpg
855,Defiance,2008,34,m,m,m,1521,9428,0.14,0.86,0,0,http://ia.media-imdb.com/images/M/MV5BMjAzODIzMTE3Ml5BMl5BanBnXkFtZTcwNDU1MjQzMg@@._V1_SX300.jpg
863,Disturbia,2007,101,m,f,m,1937,4410,0.31,0.69,0,0,http://ia.media-imdb.com/images/M/MV5BMTMyNTIxOTQ3M15BMl5BanBnXkFtZTcwMjU2NzAzMw@@._V1_SX300.jpg
879,Eagle Eye,2008,122,m,m,m,4113,4972,0.45,0.55,0,0,http://ia.media-imdb.com/images/M/MV5BMjA5MTMzMDMzNl5BMl5BanBnXkFtZTcwMzUwNDUzMw@@._V1_SX300.jpg
885,Elizabeth: The Golden Age,2007,20,m,m,m,3848,3468,0.53,0.47,0,0,http://ia.media-imdb.com/images/M/MV5BMTgzODIwNzcyMF5BMl5BanBnXkFtZTcwMTg0MTQ1MQ@@._V1_SX300.jpg
915,Final Destination,2000,86,m,m,m,908,1971,0.32,0.68,0,0,http://ia.media-imdb.com/images/M/MV5BMTU4OTI4OTI4OF5BMl5BanBnXkFtZTgwMDA1MzkyMTE@._V1_SX300.jpg
935,G.I. Joe: The Rise of Cobra,2009,174,m,m,m,3173,10868,0.23,0.77,0,0,http://ia.media-imdb.com/images/M/MV5BMTQzMTU1NzQwNl5BMl5BanBnXkFtZTcwNDg4NzMzMw@@._V1_SX300.jpg
939,Gamer,2009,23,m,m,m,565,1657,0.25,0.75,0,0,http://ia.media-imdb.com/images/M/MV5BMTkzMDU0NTg3MF5BMl5BanBnXkFtZTcwNzU1MjU1Mg@@._V1_SX300.jpg
942,Gangs of New York,2002,116,m,f,m,1419,10005,0.12,0.88,0,0,http://ia.media-imdb.com/images/M/MV5BMTI4NTM0Mzg2NV5BMl5BanBnXkFtZTcwNjQxMDAwMQ@@._V1_SX300.jpg
953,Ginger Snaps,2000,3,f,f,m,7287,1640,0.82,0.18,0,0,http://ia.media-imdb.com/images/M/MV5BYmU1NzhlNTEtY2ZmZi00YzllLTk1ZjYtOGM1NTNiZjUyYTY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
962,Gothika,2003,85,m,m,m,8680,5568,0.61,0.39,0,0,http://ia.media-imdb.com/images/M/MV5BMTYxNDA4OTAxNF5BMl5BanBnXkFtZTcwMTI5NjQzMw@@._V1_SX300.jpg
988,Harold & Kumar Go to White Castle,2004,25,m,m,m,868,10055,0.08,0.92,0,0,http://ia.media-imdb.com/images/M/MV5BNDQyMTg3Mzk4MV5BMl5BanBnXkFtZTcwMDM4NzUyMQ@@._V1_SX300.jpg
989,Harry Potter and the Chamber of Secrets,2002,392,f,m,m,2440,14445,0.14,0.86,0,0,http://ia.media-imdb.com/images/M/MV5BMTcxODgwMDkxNV5BMl5BanBnXkFtZTYwMDk2MDg3._V1_SX300.jpg
991,Harry Potter and the Sorcerer's Stone,2001,488,f,m,m,1582,6466,0.2,0.8,0,0,http://ia.media-imdb.com/images/M/MV5BMTYwNTM5NDkzNV5BMl5BanBnXkFtZTYwODQ4MzY5._V1_SX300.jpg
992,Harry Potter and the Prisoner of Azkaban,2004,348,f,m,m,3213,12268,0.21,0.79,0,0,http://ia.media-imdb.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg
1001,Heist,2001,24,m,m,m,927,5664,0.14,0.86,0,0,http://ia.media-imdb.com/images/M/MV5BMTI5ODMxMjQ0Ml5BMl5BanBnXkFtZTcwOTc2NTA0Mg@@._V1_SX300.jpg
1002,Hellboy II: The Golden Army,2008,91,m,m,m,1999,8230,0.2,0.8,0,0,http://ia.media-imdb.com/images/M/MV5BMjA5NzgyMjc2Nl5BMl5BanBnXkFtZTcwOTU3MDI3MQ@@._V1_SX300.jpg
1028,The Incredibles,2004,365,m,m,m,2749,3110,0.47,0.53,0,0,http://ia.media-imdb.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg
1041,Intolerable Cruelty,2003,50,m,m,m,3668,5092,0.42,0.58,0,0,http://ia.media-imdb.com/images/M/MV5BMTU2OTc5Mjc0N15BMl5BanBnXkFtZTYwMDYyMjg3._V1_SX300.jpg
1044,The Invention of Lying,2009,21,m,f,m,2038,6369,0.24,0.76,0,0,http://ia.media-imdb.com/images/M/MV5BMTU2OTQzOTc1Nl5BMl5BanBnXkFtZTcwNDM5MDE4Mg@@._V1_SX300.jpg
1046,The Italian Job,2003,152,m,m,m,686,3694,0.16,0.84,0,0,http://ia.media-imdb.com/images/M/MV5BMTQ4Mjc4NDAwN15BMl5BanBnXkFtZTgwMjgzMzk5MDE@._V1_SX300.jpg
1062,Jurassic Park III,2001,278,m,m,m,824,3307,0.2,0.8,0,0,http://ia.media-imdb.com/images/M/MV5BMjA2NzAyMDgyM15BMl5BanBnXkFtZTYwOTQ5Mjg5._V1_SX300.jpg
1091,Law Abiding Citizen,2009,85,m,m,m,1101,7994,0.12,0.88,0,0,http://ia.media-imdb.com/images/M/MV5BMTMyODY1NTg1N15BMl5BanBnXkFtZTcwMTUyODI4Mg@@._V1_SX300.jpg
1093,Legally Blonde,2001,146,f,m,m,7134,2754,0.72,0.28,0,0,http://ia.media-imdb.com/images/M/MV5BNTEyNjUwMTkxMV5BMl5BanBnXkFtZTcwNjk0NDk0NA@@._V1_SX300.jpg
1094,Legion,2010,44,m,m,m,3302,7482,0.31,0.69,0,0,http://ia.media-imdb.com/images/M/MV5BMTMzNDg4NjYxOV5BMl5BanBnXkFtZTcwODQyNDg3Mg@@._V1_SX300.jpg
1114,The Lord of the Rings: The Return of the King,2003,543,m,m,m,145,3888,0.04,0.96,0,0,http://ia.media-imdb.com/images/M/MV5BMjE4MjA1NTAyMV5BMl5BanBnXkFtZTcwNzM1NDQyMQ@@._V1_SX300.jpg
1115,The Lord of the Rings: The Fellowship of the Ring,2001,482,m,m,m,1212,7483,0.14,0.86,0,0,http://ia.media-imdb.com/images/M/MV5BNTEyMjAwMDU1OV5BMl5BanBnXkFtZTcwNDQyNTkxMw@@._V1_SX300.jpg
1116,The Lord of the Rings: The Two Towers,2002,509,m,m,m,206,5260,0.04,0.96,0,0,http://ia.media-imdb.com/images/M/MV5BMTAyNDU0NjY4NTheQTJeQWpwZ15BbWU2MDk4MTY2Nw@@._V1_SX300.jpg
1143,The Matrix Reloaded,2003,405,m,m,m,518,2533,0.17,0.83,0,0,http://ia.media-imdb.com/images/M/MV5BMjA0NDM5MDY2OF5BMl5BanBnXkFtZTcwNzg5OTEzMw@@._V1_SX300.jpg
1146,Max Payne,2008,49,m,m,m,319,3007,0.1,0.9,0,0,http://ia.media-imdb.com/images/M/MV5BOTc3NjE4MTE1OF5BMl5BanBnXkFtZTcwNjIyOTk3MQ@@._V1_SX300.jpg
1153,Milk,2008,38,m,m,m,357,10769,0.03,0.97,0,0,http://ia.media-imdb.com/images/M/MV5BMTI2OTM5NjUzMV5BMl5BanBnXkFtZTcwMzY1MTM5MQ@@._V1_SX300.jpg
1165,Mission to Mars,2000,98,m,m,m,1062,7302,0.13,0.87,0,0,http://ia.media-imdb.com/images/M/MV5BMTIyODE4NjI2Nl5BMl5BanBnXkFtZTcwODg4MjMyMQ@@._V1_SX300.jpg
1166,Monkeybone,2001,8,m,m,m,1667,4418,0.27,0.73,0,0,http://ia.media-imdb.com/images/M/MV5BMTI5ODUyNzU5NV5BMl5BanBnXkFtZTYwMTY5Mjg5._V1_SX300.jpg
1186,New York Minute,2004,19,f,f,f,4557,2050,0.69,0.31,0,0,http://ia.media-imdb.com/images/M/MV5BMTI2Mjc0OTc0MV5BMl5BanBnXkFtZTcwMjM4MzUyMQ@@._V1_SX300.jpg
1190,Next,2007,22,m,m,m,2425,2931,0.45,0.55,0,0,http://ia.media-imdb.com/images/M/MV5BMTg3MjgyNjE1Nl5BMl5BanBnXkFtZTcwNTY1NDU0MQ@@._V1_SX300.jpg
1211,Orphan,2009,48,m,m,m,7734,3285,0.7,0.3,0,0,http://ia.media-imdb.com/images/M/MV5BMTU0NjQzNjg2Nl5BMl5BanBnXkFtZTcwNzc3NzA0Mg@@._V1_SX300.jpg
1212,The Other Boleyn Girl,2008,32,m,m,m,3541,3538,0.5,0.5,0,0,http://ia.media-imdb.com/images/M/MV5BMTY2NzkyMzY1OF5BMl5BanBnXkFtZTcwMjk1MDU1MQ@@._V1_SX300.jpg
1213,Kate & Leopold,2001,72,m,m,m,841,4676,0.15,0.85,0,0,http://ia.media-imdb.com/images/M/MV5BODU1MzU0OTUwOF5BMl5BanBnXkFtZTYwNjA5NTA5._V1_SX300.jpg
1215,Panic Room,2002,142,m,f,m,1617,2773,0.37,0.63,0,0,http://ia.media-imdb.com/images/M/MV5BMTczMDc5NDE3M15BMl5BanBnXkFtZTYwNTQwNDg4._V1_SX300.jpg
1216,The Pacifier,2005,153,m,m,m,1858,4341,0.3,0.7,0,0,http://ia.media-imdb.com/images/M/MV5BMTQ2MTYxNzM3M15BMl5BanBnXkFtZTcwNTEzNTgyMQ@@._V1_SX300.jpg
1218,The Patriot,2000,182,m,m,m,275,6568,0.04,0.96,0,0,http://ia.media-imdb.com/images/M/MV5BMTkzMjE4ODU0MV5BMl5BanBnXkFtZTYwNTI2OTk2._V1_SX300.jpg
1219,Pearl Harbor,2001,305,m,m,m,1259,4988,0.2,0.8,0,0,http://ia.media-imdb.com/images/M/MV5BMTQ3MDc0MDc1NF5BMl5BanBnXkFtZTYwODI1ODY2._V1_SX300.jpg
1250,The Proposal,2009,190,m,f,f,7377,6460,0.53,0.47,0,0,http://ia.media-imdb.com/images/M/MV5BMTU1MzY1ODIyNV5BMl5BanBnXkFtZTcwNDU4NTE3Mg@@._V1_SX300.jpg
1253,Punch-Drunk Love,2002,26,m,m,m,2853,4650,0.38,0.62,0,0,http://ia.media-imdb.com/images/M/MV5BOTcwMDMxMjg2NF5BMl5BanBnXkFtZTYwNzg0MDc3._V1_SX300.jpg
1258,The Queen,2006,74,m,m,m,2461,3096,0.44,0.56,0,0,http://ia.media-imdb.com/images/M/MV5BMTQ3NTMxODg1Ml5BMl5BanBnXkFtZTcwMjEyMjczMQ@@._V1_SX300.jpg
1269,Red Planet,2000,28,m,m,m,2168,12584,0.15,0.85,0,0,http://ia.media-imdb.com/images/M/MV5BMTY2MzE0MjAwOF5BMl5BanBnXkFtZTYwNDM4Mzg2._V1_SX300.jpg
1285,RocknRolla,2008,6,m,m,m,585,8530,0.06,0.94,0,0,http://ia.media-imdb.com/images/M/MV5BMTQ0NTk5Mzk2OV5BMl5BanBnXkFtZTcwMDE3NTE4MQ@@._V1_SX300.jpg
1286,Romeo & Juliet,2013,1,m,m,m,2245,4269,0.34,0.66,0,0,http://ia.media-imdb.com/images/M/MV5BMTA3MjQwOTg4MTheQTJeQWpwZ15BbWU3MDM3NDE0OTk@._V1_SX300.jpg
1295,Save the Last Dance,2001,139,m,f,m,4047,4318,0.48,0.52,0,0,http://ia.media-imdb.com/images/M/MV5BMjM1NTUzMzU5NF5BMl5BanBnXkFtZTgwNDAxNzQxMTE@._V1_SX300.jpg
1325,Signs,2002,341,m,f,m,1070,4359,0.2,0.8,0,0,http://ia.media-imdb.com/images/M/MV5BNDUwMDUyMDAyNF5BMl5BanBnXkFtZTYwMDQ3NzM3._V1_SX300.jpg
1339,Snatch.,2000,48,m,m,m,249,13373,0.02,0.98,0,0,http://ia.media-imdb.com/images/M/MV5BMTk5NzE0MDQyNl5BMl5BanBnXkFtZTcwNzk4Mjk3OA@@._V1_SX300.jpg
1340,Smokin' Aces,2006,47,m,m,m,2051,8038,0.2,0.8,0,0,http://ia.media-imdb.com/images/M/MV5BMTI3NzQwNDEyN15BMl5BanBnXkFtZTcwMDY4ODQ0MQ@@._V1_SX300.jpg
1349,Spanglish,2004,58,m,f,m,10720,4585,0.7,0.3,0,0,http://ia.media-imdb.com/images/M/MV5BMTg2MjkwOTExMV5BMl5BanBnXkFtZTcwNTc4MzcyMQ@@._V1_SX300.jpg
1351,Speed Racer,2008,53,m,f,m,1720,13103,0.12,0.88,0,0,http://ia.media-imdb.com/images/M/MV5BMTA5MjgxMDE4OTVeQTJeQWpwZ15BbWU3MDgyNjc4NjE@._V1_SX300.jpg
1360,Star Wars: Episode II - Attack of the Clones,2002,465,m,m,m,1273,6242,0.17,0.83,0,0,http://ia.media-imdb.com/images/M/MV5BMTY5MjI5NTIwNl5BMl5BanBnXkFtZTYwMTM1Njg2._V1_SX300.jpg
1361,Star Trek,2009,299,m,m,m,682,6582,0.09,0.91,0,0,http://ia.media-imdb.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg
1389,TMNT,2007,68,m,m,m,1226,8248,0.13,0.87,0,0,http://ia.media-imdb.com/images/M/MV5BMjE1MzcwNTE5OV5BMl5BanBnXkFtZTcwMTIxNzQ0MQ@@._V1_SX300.jpg
1391,Taking Lives,2004,45,m,m,m,6515,3368,0.66,0.34,0,0,http://ia.media-imdb.com/images/M/MV5BMTA3NDMyNzI5NTdeQTJeQWpwZ15BbWU3MDQxNDEyMzM@._V1_SX300.jpg
1401,Thirteen Days,2000,55,m,m,m,136,12417,0.01,0.99,0,0,http://ia.media-imdb.com/images/M/MV5BMTkwMTkxNTYyM15BMl5BanBnXkFtZTYwOTc5NTk2._V1_SX300.jpg
1428,Tropic Thunder,2008,133,m,m,m,295,10296,0.03,0.97,0,0,http://ia.media-imdb.com/images/M/MV5BNDE5NjQzMDkzOF5BMl5BanBnXkFtZTcwODI3ODI3MQ@@._V1_SX300.jpg
1438,Unbreakable,2000,153,m,m,m,1206,4101,0.23,0.77,0,0,http://ia.media-imdb.com/images/M/MV5BMTQ5MzkyMjk2Nl5BMl5BanBnXkFtZTYwOTAxOTE3._V1_SX300.jpg
1444,V for Vendetta,2005,95,m,m,m,3717,5081,0.42,0.58,0,0,http://ia.media-imdb.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_SX300.jpg
1447,Vanilla Sky,2001,155,m,m,m,2613,7786,0.25,0.75,0,0,http://ia.media-imdb.com/images/M/MV5BMTQ2OTQ4NDAzMV5BMl5BanBnXkFtZTcwNjYxNDI4OA@@._V1_SX300.jpg
1455,A Walk to Remember,2002,61,m,f,m,1710,3902,0.3,0.7,0,0,http://ia.media-imdb.com/images/M/MV5BMTM1MTYzNjA3M15BMl5BanBnXkFtZTcwMjk2NTE4Mg@@._V1_SX300.jpg
1458,Wanted,2008,163,m,m,m,4100,6353,0.39,0.61,0,0,http://ia.media-imdb.com/images/M/MV5BMTQwNDM2MTMwMl5BMl5BanBnXkFtZTgwMjE4NjQxMTE@._V1_SX300.jpg
1459,War of the Worlds,2005,317,m,m,m,589,1446,0.29,0.71,0,0,http://ia.media-imdb.com/images/M/MV5BNDUyODAzNDI1Nl5BMl5BanBnXkFtZTcwMDA2NDAzMw@@._V1_SX300.jpg
1461,Watchmen,2009,125,m,m,m,3055,8747,0.26,0.74,0,0,http://ia.media-imdb.com/images/M/MV5BMTc0NjI2OTYxMF5BMl5BanBnXkFtZTcwMTcxMjkyMg@@._V1_SX300.jpg
1465,We Own the Night,2007,36,m,m,m,623,7284,0.08,0.92,0,0,http://ia.media-imdb.com/images/M/MV5BMTY0MTQ5OTcyNF5BMl5BanBnXkFtZTcwMDE0NzUzMw@@._V1_SX300.jpg
1467,While She Was Out,2008,0,m,m,f,792,2342,0.25,0.75,0,0,http://ia.media-imdb.com/images/M/MV5BMTk5OTUwMzk1Ml5BMl5BanBnXkFtZTcwNDIyMjMzMg@@._V1_SX300.jpg
1471,Whiteout,2009,11,m,m,m,1889,2232,0.46,0.54,0,0,http://ia.media-imdb.com/images/M/MV5BNTEyMDgwNzU1NF5BMl5BanBnXkFtZTcwMDkxMzI4Mg@@._V1_SX300.jpg
1488,X-Men Origins: Wolverine,2009,208,m,m,m,2016,6798,0.23,0.77,0,0,http://ia.media-imdb.com/images/M/MV5BMTI2MTgyNjExM15BMl5BanBnXkFtZTcwNzU4MjkyMg@@._V1_SX300.jpg
1497,xXx,2002,211,m,m,m,998,7287,0.12,0.88,0,0,http://ia.media-imdb.com/images/M/MV5BMTIyOTM5MzkzMF5BMl5BanBnXkFtZTYwOTk5OTc5._V1_SX300.jpg
1509,2012,2009,192,m,m,m,2560,11574,0.18,0.82,0,0,http://ia.media-imdb.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg
1517,12 Years a Slave,2013,60,m,f,m,3452,16176,0.18,0.82,0,0,http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg
1520,127 Hours,2010,20,m,m,m,809,4336,0.16,0.84,0,0,http://ia.media-imdb.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX300.jpg
1525,17 Again,2009,74,m,m,m,3806,12832,0.23,0.77,0,0,http://ia.media-imdb.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1_SX300.jpg
1530,30 Minutes or Less,2011,40,m,m,m,704,14278,0.05,0.95,0,0,http://ia.media-imdb.com/images/M/MV5BMTM5NjM0ODY1NF5BMl5BanBnXkFtZTcwMjk5NjI0Ng@@._V1_SX300.jpg
1534,(500) Days of Summer,2009,37,m,m,m,5738,12762,0.31,0.69,0,0,http://ia.media-imdb.com/images/M/MV5BMTk5MjM4OTU1OV5BMl5BanBnXkFtZTcwODkzNDIzMw@@._V1_SX300.jpg
1556,The Adjustment Bureau,2011,68,m,m,m,3222,12258,0.21,0.79,0,0,http://ia.media-imdb.com/images/M/MV5BMTU3ODg3MDAxMl5BMl5BanBnXkFtZTcwMjc0MDMzNA@@._V1_SX300.jpg
1603,All About Steve,2009,39,f,f,m,8644,6901,0.56,0.44,0,0,http://ia.media-imdb.com/images/M/MV5BMTA5MTQxOTE2OTReQTJeQWpwZ15BbWU3MDY5NzI4NzI@._V1_SX300.jpg
1606,Almost Famous,2000,52,m,m,m,6766,16484,0.29,0.71,0,0,http://ia.media-imdb.com/images/M/MV5BMTI0MDc0MzIyM15BMl5BanBnXkFtZTYwMzc4NzA5._V1_SX300.jpg
1613,Amelia,2009,16,f,m,f,17014,13622,0.56,0.44,0,0,http://ia.media-imdb.com/images/M/MV5BMTI5NTI3MjA4M15BMl5BanBnXkFtZTcwMTM3Mzc3Mg@@._V1_SX300.jpg
1628,American Hustle,2013,160,m,m,m,5507,16441,0.25,0.75,0,0,http://ia.media-imdb.com/images/M/MV5BNjkxMTc0MDc4N15BMl5BanBnXkFtZTgwODUyNTI1MDE@._V1_SX300.jpg
1634,American Outlaws,2001,20,m,m,m,911,10438,0.08,0.92,0,0,http://ia.media-imdb.com/images/M/MV5BMTIwMTYxODAzMV5BMl5BanBnXkFtZTYwNTM3Nzc5._V1_SX300.jpg
1639,American Psycho,2000,24,m,m,f,3212,13962,0.19,0.81,0,0,http://ia.media-imdb.com/images/M/MV5BMjIyMTYwMTI0N15BMl5BanBnXkFtZTgwNTU2NTYxMTE@._V1_SX300.jpg
1647,The Amityville Asylum,2013,0,m,m,m,5009,5769,0.46,0.54,0,0,http://ia.media-imdb.com/images/M/MV5BNDE2MzM0Mzc3Ml5BMl5BanBnXkFtZTcwNjY0MzIwOQ@@._V1_SX300.jpg
1650,An Education,2009,14,f,f,f,14330,6292,0.69,0.31,0,0,http://ia.media-imdb.com/images/M/MV5BMTg4NjgzOTc0MF5BMl5BanBnXkFtZTcwOTc2OTE3Mg@@._V1_SX300.jpg
1657,Angels & Demons,2009,154,m,m,m,2848,15272,0.16,0.84,0,0,http://ia.media-imdb.com/images/M/MV5BMjEzNzM2MjgxMF5BMl5BanBnXkFtZTcwNTQ1MTM0Mg@@._V1_SX300.jpg
1659,Anna Karenina,2012,13,m,m,m,4819,6147,0.44,0.56,0,0,http://ia.media-imdb.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg
1669,Antitrust,2001,16,m,m,m,3686,15668,0.19,0.81,0,0,http://ia.media-imdb.com/images/M/MV5BMTk4NzE4MzQ1MF5BMl5BanBnXkFtZTcwMzkxNjUyMQ@@._V1_SX300.jpg
1684,Arbitrage,2012,8,m,m,m,2198,9737,0.18,0.82,0,0,http://ia.media-imdb.com/images/M/MV5BODU5ODYyNzM1MF5BMl5BanBnXkFtZTcwNDEwNTQwOA@@._V1_SX300.jpg
1691,Argo,2012,148,m,m,m,345,8919,0.04,0.96,0,0,http://ia.media-imdb.com/images/M/MV5BMTc3MjI0MjM0NF5BMl5BanBnXkFtZTcwMTYxMTQ1OA@@._V1_SX300.jpg
1718,Avatar,2009,882,m,f,m,5962,11470,0.34,0.66,0,0,http://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg
1723,The Avengers,2012,680,m,f,m,1723,11207,0.13,0.87,0,0,http://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg
1727,Babel,2006,45,m,m,m,4118,11836,0.26,0.74,0,0,http://ia.media-imdb.com/images/M/MV5BMjEzMzg4NTIyOF5BMl5BanBnXkFtZTcwNjM3MzgzMQ@@._V1_SX300.jpg
1734,The Back-up Plan,2010,41,f,m,m,8090,4246,0.66,0.34,0,0,http://ia.media-imdb.com/images/M/MV5BNjAzODM4NTc1OF5BMl5BanBnXkFtZTcwNDU2ODUzMw@@._V1_SX300.jpg
1746,Bad Teacher,2011,109,m,m,m,10782,4489,0.71,0.29,0,0,http://ia.media-imdb.com/images/M/MV5BMTQ5NDI4MDM0Nl5BMl5BanBnXkFtZTcwNDYwODU2NA@@._V1_SX300.jpg
1759,Basic,2003,38,m,m,m,2078,12456,0.14,0.86,0,0,http://ia.media-imdb.com/images/M/MV5BMTkyMjE1MzY4MV5BMl5BanBnXkFtZTYwNTU2NDg5._V1_SX300.jpg
1773,Batman Begins,2005,278,m,m,m,2096,10274,0.17,0.83,0,0,http://ia.media-imdb.com/images/M/MV5BNTM3OTc0MzM2OV5BMl5BanBnXkFtZTYwNzUwMTI3._V1_SX300.jpg
1792,Beasts of the Southern Wild,2012,13,f,m,m,2325,1706,0.58,0.42,0,0,http://ia.media-imdb.com/images/M/MV5BMTgxNDM5MDM1Ml5BMl5BanBnXkFtZTcwOTYwNzQ3Nw@@._V1_SX300.jpg
1796,Beginners,2010,6,m,f,m,2502,8861,0.22,0.78,0,0,http://ia.media-imdb.com/images/M/MV5BMjAyNDcxNTk3NV5BMl5BanBnXkFtZTcwMjk4MDU2NA@@._V1_SX300.jpg
1810,The Best Exotic Marigold Hotel,2011,50,m,m,m,7094,9259,0.43,0.57,0,0,http://ia.media-imdb.com/images/M/MV5BMjIwNjkwMDI2NV5BMl5BanBnXkFtZTcwNDc1ODIyNw@@._V1_SX300.jpg
1841,Black Swan,2010,117,m,m,m,2444,1947,0.56,0.44,0,0,http://ia.media-imdb.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg
